1	8537673 
2	3976322 
3	2704958 
4	2303482 
5	1615017 
6	1567872 
7	1492510 
8	1406630 
9	1317929 
10	1025350 
11	947890 
12	880619 
13	870887 
14	860090 
15	855164 
16	854113 
17	842051 
18	704352 
19	693060 
20	683080 
21	681170 
22	673184 
23	672795 
24	660388 
25	652717 
26	639863 
27	638367 
28	632912 
29	616261 
30	614664 
31	595047 
32	559277 
33	530706 
34	522053 
35	495234 
36	484587 
37	481420 
38	472522 
39	470130 
40	465101 
41	458880 
42	453579 
43	452602 
44	446970 
45	420005 
46	413651 
47	403090 
48	392772 
49	391495 
50	389902 
